"X","DATE","LATITUDE","LONGITUDE","OFFENSE","PRECINCT","BOROUGH","JURISDICTION","DAY","MONTH"
685289,2013-08-07,40.8141947120001,-73.9508623089999,"GRAND LARCENY",26,"MANHATTAN","N.Y. POLICE DEPT","Wednesday","Aug"
735156,2014-03-31,40.5997867570001,-73.937912307,"GRAND LARCENY",61,"BROOKLYN","N.Y. POLICE DEPT","Monday","Mar"
1015250,2014-07-05,40.710074708,-74.009765589,"GRAND LARCENY",1,"MANHATTAN","N.Y. POLICE DEPT","Saturday","Jul"
758651,2015-11-30,40.7516146250001,-73.8998412129999,"ROBBERY",108,"QUEENS","N.Y. POLICE DEPT","Monday","Nov"
1109766,2015-03-30,40.8513267490001,-73.908413245,"ROBBERY",46,"BRONX","N.Y. POLICE DEPT","Monday","Mar"
841233,2015-07-17,40.615476093,-74.007079147,"GRAND LARCENY",62,"BROOKLYN","N.Y. POLICE DEPT","Friday","Jul"
638364,2013-03-16,40.72359521,-73.988200564,"FELONY ASSAULT",9,"MANHATTAN","N.Y. POLICE DEPT","Saturday","Mar"
984047,2014-04-06,40.7791676680001,-73.953740642,"GRAND LARCENY",19,"MANHATTAN","N.Y. POLICE DEPT","Sunday","Apr"
1039411,2015-12-19,40.8508104360001,-73.931739169,"BURGLARY",34,"MANHATTAN","N.Y. POLICE DEPT","Saturday","Dec"
1017004,2015-01-27,40.617537477,-73.9936727309999,"GRAND LARCENY",62,"BROOKLYN","N.Y. POLICE DEPT","Tuesday","Jan"
782881,2013-04-14,40.6524093530001,-73.954336676,"FELONY ASSAULT",67,"BROOKLYN","N.Y. POLICE DEPT","Sunday","Apr"
921204,2013-08-28,40.6380582400001,-73.88540105,"FELONY ASSAULT",69,"BROOKLYN","N.Y. POLICE DEPT","Wednesday","Aug"
1108095,2015-03-03,40.807893289,-73.917911949,"GRAND LARCENY",40,"BRONX","N.Y. POLICE DEPT","Tuesday","Mar"
679470,2013-07-08,40.8826295900001,-73.826705396,"GRAND LARCENY",45,"BRONX","N.Y. POLICE DEPT","Monday","Jul"
1087688,2015-04-10,40.7381713720001,-73.8607522569999,"GRAND LARCENY",110,"QUEENS","N.Y. POLICE DEPT","Friday","Apr"
901207,2015-03-17,40.6638512010001,-73.921657662,"ROBBERY",73,"BROOKLYN","N.Y. POLICE DEPT","Tuesday","Mar"
892387,2013-07-22,40.7592732100001,-73.968254471,"GRAND LARCENY",17,"MANHATTAN","N.Y. POLICE DEPT","Monday","Jul"
1041779,2015-12-23,40.742553834,-74.000492239,"GRAND LARCENY",10,"MANHATTAN","N.Y. POLICE DEPT","Wednesday","Dec"
810173,2014-12-27,40.8107787390001,-73.907992196,"FELONY ASSAULT",40,"BRONX","N.Y. POLICE DEPT","Saturday","Dec"
800507,2014-11-14,40.666601137,-73.903191422,"GRAND LARCENY OF MOTOR VEHICLE",73,"BROOKLYN","N.Y. POLICE DEPT","Friday","Nov"
939186,2013-11-27,40.8184278250001,-73.922292208,"GRAND LARCENY",40,"BRONX","N.Y. POLICE DEPT","Wednesday","Nov"
1027701,2014-02-02,40.7343004310001,-73.956625962,"BURGLARY",94,"BROOKLYN","N.Y. POLICE DEPT","Sunday","Feb"
697860,2014-10-06,40.7053402650001,-73.964002557,"BURGLARY",90,"BROOKLYN","N.Y. HOUSING POLICE","Monday","Oct"
663774,2013-12-10,40.705715275,-73.744357405,"GRAND LARCENY OF MOTOR VEHICLE",105,"QUEENS","N.Y. POLICE DEPT","Tuesday","Dec"
1117523,2015-11-03,40.8382072910001,-73.912265702,"GRAND LARCENY OF MOTOR VEHICLE",44,"BRONX","N.Y. POLICE DEPT","Tuesday","Nov"
1104804,2015-12-24,40.651698159,-73.868446756,"GRAND LARCENY",75,"BROOKLYN","N.Y. POLICE DEPT","Thursday","Dec"
995036,2014-12-28,40.664872739,-73.9041635569999,"GRAND LARCENY",73,"BROOKLYN","N.Y. HOUSING POLICE","Sunday","Dec"
822443,2013-08-27,40.678892428,-73.759234851,"GRAND LARCENY",113,"QUEENS","N.Y. POLICE DEPT","Tuesday","Aug"
920247,2013-12-19,40.6718363200001,-73.774498415,"GRAND LARCENY",113,"QUEENS","N.Y. POLICE DEPT","Thursday","Dec"
1056007,2015-05-20,40.7270125640001,-73.749626266,"GRAND LARCENY",105,"QUEENS","N.Y. POLICE DEPT","Wednesday","May"
947383,2015-07-23,40.813241616,-73.909076182,"FELONY ASSAULT",40,"BRONX","N.Y. POLICE DEPT","Thursday","Jul"
956220,2014-02-17,40.652907337,-73.929494599,"FELONY ASSAULT",67,"BROOKLYN","N.Y. POLICE DEPT","Monday","Feb"
1024567,2014-08-12,40.697064637,-73.937875815,"BURGLARY",79,"BROOKLYN","N.Y. HOUSING POLICE","Tuesday","Aug"
